Time (sec),Pressure (psia),Thrust (lbf),Mass Flowrate
68.5,640.225,2575789.80,9691.58 
69,641.018,2579909.50,9706.97 
69.5,641.601,2583626.30,9718.17 
70,642.071,2586565.00,9730.46 
70.5,642.636,2589301.50,9744.95 
71,643.358,2592588.80,9759.24 
71.5,643.986,2596388.00,9770.73 
72,644.279,2598994.80,9778.93 
72.5,644.445,2599668.50,9787.23 
73,644.825,2601990.30,9798.22 
73.5,645.306,2605459.80,9808.41 
74,645.579,2607215.80,9814.81 
74.5,645.609,2607741.80,9819.91 
75,645.576,2608508.50,9824.90 
75.5,645.65,2609864.00,9829.90 
76,645.783,2611149.50,9834.30 
76.5,645.628,2611072.30,9835.50 
77,644.704,2608075.50,9826.80 
77.5,642.616,2600709.50,9799.92 
78,639.262,2588065.00,9751.55 
78.5,634.979,2570957.00,9689.18 
79,630.515,2553273.30,9626.12 
79.5,626.669,2538927.30,9572.96 
80,623.739,2528143.50,9531.68 
80.5,621.363,2519012.80,9497.50 
81,618.904,2509473.30,9463.12 
81.5,615.883,2497928.00,9421.65 
82,612.128,2483667.80,9368.78 
82.5,607.814,2467202.30,9306.42 
83,603.384,2450018.30,9241.66 
83.5,599.3,2433817.30,9182.69 
84,595.737,2419689.50,9132.52 
84.5,592.427,2407287.50,9085.75 
85,588.878,2394126.00,9034.19 
85.5,584.731,2377627.00,8973.72 
86,580.007,2358813.50,8905.56 
86.5,574.865,2338823.50,8831.01 
87,569.311,2317012.80,8749.96 
87.5,563.508,2293986.50,8664.11 
88,557.932,2271895.50,8580.66 
88.5,553.144,2253176.50,8510.30 
89,549.53,2239268.80,8459.84 
89.5,547.084,2229899.30,8426.86 
90,545.447,2223580.00,8404.17 
90.5,544.106,2218500.50,8384.68 
91,542.618,2213241.30,8363.89 
91.5,540.778,2206913.80,8339.51 
92,538.596,2199041.50,8310.43 
92.5,536.128,2189428.50,8275.95 
93,533.335,2178028.50,8235.47 
93.5,530.077,2164843.00,8187.80 
94,526.248,2149946.50,8132.04 
94.5,521.914,2133581.50,8068.77 
95,517.377,2116263.80,8001.82 
95.5,513.015,2098882.00,7937.25 
96,509.066,2082675.90,7879.79 
96.5,505.57,2068560.80,7829.52 
97,502.429,2056377.30,7783.95 
97.5,499.468,2045168.40,7740.57 
98,496.501,2033844.50,7697.00 
98.5,493.384,2021720.50,7651.53 
99,490.057,2008590.50,7603.06 
99.5,486.524,1994569.50,7551.49 
100,482.825,1979923.50,7497.02 
100.5,479.006,1964898.00,7440.36 
101,475.097,1949558.60,7381.89 
101.5,471.089,1933738.60,7321.53 
102,466.92,1917138.10,7258.57 
102.5,462.48,1899452.30,7191.31 
103,457.691,1880511.90,7100.77 
103.5,452.614,1860445.10,7006.02 
104,447.482,1839842.80,6909.08 
