0	35	0
1.43728854	35.60517866	0
2.690155798	36.12071643	0
3.962456778	36.63207569	0
5.254771064	37.13911189	0
6.567694156	37.64166996	0
7.901838136	38.13958389	0
9.257832384	38.63267641	0
10.63632431	39.12075855	0
12.03798017	39.60362927	0
13.46348582	40.08107494	0
14.91354768	40.55286894	0
16.38889356	41.01877113	0
17.89027369	41.47852735	0
19.41846171	41.93186883	0
20.97425577	42.37851162	0
22.55847964	42.818156	0
24.17198397	43.25048576	0
25.81564751	43.67516757	0
27.49037854	44.09185019	0
29.19711624	44.5001637	0
30.93683226	44.89971871	0
32.71053235	45.29010539	0
34.51925806	45.67089261	0
36.36408859	46.04162689	0
38.24614273	46.40183134	0
40.16658097	46.75100455	0
42.12660768	47.08861934	0
44.12747347	47.41412148	0
46.17047775	47.72692831	0
48.25697135	48.02642725	0
50.38835944	48.31197421	0
52.56610456	48.5828919	0
54.79172992	48.83846803	0
57.06682286	49.07795329	0
59.39303863	49.30055934	0
61.77210438	49.50545649	0
64.20582346	49.69177132	0
66.69608004	49.85858401	0
69.24484404	50.00492563	0
71.85417641	50.129775	0
74.52623488	50.23205552	0
77.26328004	50.31063157	0
80.06768195	50.36430474	0
82.94192723	50.39180968	0
97.65452408	61.4787282	0
101.4749195	61.81235405	0
105.4198316	62.11857591	0
109.4949238	62.39536205	0
113.7061944	62.64053541	0
118.0600021	62.85176177	0
122.5630935	63.02653689	0
127.2226333	63.16217232	0
132.0462373	63.2557798	0
137.0420089	63.30425408	0
